screen_name,cap_en,cap_unv
RevvySuiter,0.0026183131920431966,0.011448498001345467
Ashley25E,0.018904416758651326,0.005778300973814037
mam_murphy,0.014543680863094452,0.03435849422907052
Dill_Bot,0.20316525868115767,0.14577620294303828
ladydreamspeed,0.0014828129117616376,0.0033536770167744536
mia_francesca9,0.004268306222830912,0.0043042404804791
OSKpeter,0.0034565375041747688,0.007183846426565749
HEteeyan,0.008750694009244317,0.003116817556886547
PanHead_zt,0.31925820414416145,0.35515431108103784
luuulitt,0.8284585039985664,0.26968322684725654
Karen_Roth_AZ,0.021603216955146855,0.07519311407072778
26catsmum,0.15990913252190533,0.06747906081432216
sweetheart75,0.11046376827194711,0.038677030425236264
gooner_saad,0.0014187924969112314,0.0023079208238384373
ihtalso,0.004775575529426348,0.01645230483113907
muzafar72639621,0.28686866458066024,0.47530138941405353
NickFury2018,0.2564674002687074,0.14577620294303828
TammyRinaldi,0.004775575529426348,0.01645230483113907
Havish_AF,0.032183220269696264,0.07519311407072778
MissNyetTrump,0.03657805288858329,0.09360841931572118
LindaRockers,0.31925820414416145,0.10460347933351005
vinivinidogo,0.001725457650971877,0.002571043998532308
mblueisland5667,0.008750694009244317,0.012907437350993261
queeng20111,0.0022344951904619756,0.005213309669283597
Lermont,0.0024124820419756166,0.006431292840898396
joanikledi8,0.016566752245969804,0.01859922727344653
rolandhordos,0.0016347149115980926,0.0027296301902785666
zaphodsbud,0.0020801266669107617,0.038677030425236264
AmicusChristi,0.005363701003450149,0.014565852401308765
jonella_moore,0.31925820414416145,0.504016168377861
Wahidamh4,0.7642023402653852,0.26968322684725654
CBDjean,0.0034565375041747688,0.007183846426565749
simplify77,0.0034565375041747688,0.011448498001345467
kevinmcdougald,0.0019457839054003979,0.0021984408773070953
ANNON54274934,0.6662767818190388,0.09360841931572118
avgust291,0.6662767818190388,0.5856427244085384
Jali_Cat,0.2564674002687074,0.22121616027906205
PlethoraMounds,0.016566752245969804,0.012907437350993261
KatieFLelite7,0.14157391067567082,0.11693596663244112
beneficii,0.02470203924309943,0.06055916271173367
Speak535,0.0060434470460022415,0.012907437350993261
neverlandri0t,0.0015543510151536995,0.0027296301902785666
bjj100,0.011259346570646776,0.009037049400998034
mthomas304,0.005363701003450149,0.002571043998532308
joeycrisis,0.0018284205282117316,0.01859922727344653
MaryMsway224,0.003134129284123964,0.014565852401308765
DeborahDtfpress,0.0024124820419756166,0.004725361816828223
OCPhA_CA,0.11046376827194711,0.11693596663244112
WeSupport45,0.09741389119048932,0.18030310025096605
ssspaju,0.0014187924969112314,0.003940623559956331
